127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/jquery/dist/jquery.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/bootstrap/dist/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/fastclick/lib/fastclick.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/nprogress/nprogress.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/Chart.js/dist/Chart.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/gauge.js/dist/gauge.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/iCheck/icheck.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/Flot/jquery.flot.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/bootstrap-progressbar/bootstrap-progressbar.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/Flot/jquery.flot.time.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/Flot/jquery.flot.pie.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/Flot/jquery.flot.stack.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/Flot/jquery.flot.resize.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/flot.orderbars/js/jquery.flot.orderBars.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/flot-spline/js/jquery.flot.spline.min.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/DateJS/build/date.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/flot.curvedlines/curvedLines.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/font-awesome/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/jqvmap/dist/jquery.vmap.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/images/chkp_logo.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/images/god.JPG, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/jqvmap/dist/maps/jquery.vmap.world.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/jqvmap/examples/js/jquery.vmap.sampledata.js, HTTP/1.1, 200, 0.002000
